Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations,Category
2013,236595,Seattle University,379000,1,Main Campus,7422,0,0,0,On-campus arrests
2013,236948,University of Washington-Seattle Campus,379800,1,Main Campus,43762,2,4,13,On-campus arrests
2013,236939,Washington State University,380000,1,Pullman Campus,27642,1,85,193,On-campus arrests
2013,237011,Western Washington University,380200,1,Bellingham Campus,14950,0,1,9,On-campus arrests
2013,237057,Whitman College,380300,1,Whitman College,1541,0,0,0,On-campus arrests
2014,235316,Gonzaga University,377800,1,Main Campus,7352,0,0,0,On-campus arrests
2014,236595,Seattle University,379000,1,Main Campus,7273,0,0,0,On-campus arrests
2014,236948,University of Washington-Seattle Campus,379800,1,Main Campus,44784,0,16,5,On-campus arrests
2014,236939,Washington State University,380000,1,Pullman Campus,28686,1,40,147,On-campus arrests
2014,237011,Western Washington University,380200,1,Bellingham Campus,15060,1,14,13,On-campus arrests
2014,237057,Whitman College,380300,1,Whitman College,1498,0,0,0,On-campus arrests
2015,235316,Gonzaga University,377800,1,Main Campus,7491,0,0,10,On-campus arrests
2015,236595,Seattle University,379000,1,Main Campus,7405,0,0,0,On-campus arrests
2015,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45408,1,5,5,On-campus arrests
2015,236939,Washington State University,380000,1,Pullman Campus,29686,3,67,132,On-campus arrests
2015,237011,Western Washington University,380200,1,Bellingham Campus,15332,0,1,0,On-campus arrests
2015,237057,Whitman College,380300,1,Whitman College,1470,0,0,0,On-campus arrests
2016,235316,Gonzaga University,377800,1,Main Campus,7567,0,0,9,On-campus arrests
2016,236595,Seattle University,379000,1,Main Campus,7487,0,0,0,On-campus arrests
2016,236595,Seattle University,379000,2,Eastside Campus,7487,0,0,0,On-campus arrests
2016,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45591,2,5,5,On-campus arrests
2016,236939,Washington State University,380000,1,Pullman Campus,30142,0,49,82,On-campus arrests
2016,237011,Western Washington University,380200,1,Bellingham Campus,15574,0,5,1,On-campus arrests
2016,237057,Whitman College,380300,1,Whitman College,1493,0,0,0,On-campus arrests
2017,235316,Gonzaga University,377800,1,Main Campus,7506,0,0,2,On-campus arrests
2017,236595,Seattle University,379000,1,Main Campus,7278,0,0,0,On-campus arrests
2017,236595,Seattle University,379000,2,Eastside Campus,7278,0,0,0,On-campus arrests
2017,236948,University of Washington-Seattle Campus,379800,1,Main Campus,46166,4,10,1,On-campus arrests
2017,236939,Washington State University,380000,1,Pullman Campus,30614,0,37,75,On-campus arrests
2017,237011,Western Washington University,380200,1,Bellingham Campus,15915,0,11,15,On-campus arrests
2017,237057,Whitman College,380300,1,Whitman College,1510,0,0,1,On-campus arrests
2018,235316,Gonzaga University,377800,1,Main Campus,7563,0,3,1,On-campus arrests
2018,236595,Seattle University,379000,1,Main Campus,7291,0,0,0,On-campus arrests
2018,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47400,1,8,1,On-campus arrests
2018,236939,Washington State University,380000,1,Pullman Campus,31478,1,26,63,On-campus arrests
2018,237011,Western Washington University,380200,1,Bellingham Campus,16121,0,2,6,On-campus arrests
2018,237057,Whitman College,380300,1,Whitman College,1475,0,0,0,On-campus arrests
2019,235316,Gonzaga University,377800,1,Main Campus,7537,0,1,0,On-campus arrests
2019,236595,Seattle University,379000,1,Main Campus,7199,0,1,0,On-campus arrests
2019,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47576,5,7,32,On-campus arrests
2019,236939,Washington State University,380000,1,Pullman Campus,31607,0,32,67,On-campus arrests
2019,237011,Western Washington University,380200,1,Bellingham Campus,16142,0,2,6,On-campus arrests
2019,237057,Whitman College,380300,1,Whitman College,1579,0,0,0,On-campus arrests
2020,235316,Gonzaga University,377800,1,Main Campus,7295,0,1,0,On-campus arrests
2020,236595,Seattle University,379000,1,Main Campus,7050,1,0,0,On-campus arrests
2020,236948,University of Washington-Seattle Campus,379800,1,Main Campus,48149,0,1,0,On-campus arrests
2020,236939,Washington State University,380000,1,Pullman Campus,31159,1,14,18,On-campus arrests
2020,237011,Western Washington University,380200,1,Bellingham Campus,15197,0,0,2,On-campus arrests
2020,237057,Whitman College,380300,1,Whitman College,1360,0,0,0,On-campus arrests
2021,235316,Gonzaga University,377800,1,Main Campus,7381,0,0,0,On-campus arrests
2021,236595,Seattle University,379000,1,Main Campus,7268,0,0,0,On-campus arrests
2021,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52434,1,2,0,On-campus arrests
2021,236939,Washington State University,380000,1,Pullman Campus,29843,2,2,19,On-campus arrests
2021,237011,Western Washington University,380200,1,Bellingham Campus,15125,0,1,0,On-campus arrests
2021,237057,Whitman College,380300,1,Whitman College,1559,0,0,0,On-campus arrests
2022,235316,Gonzaga University,377800,1,Main Campus,7253,0,0,0,On-campus arrests
2022,236595,Seattle University,379000,1,Main Campus,7121,0,0,0,On-campus arrests
2022,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52319,0,1,0,On-campus arrests
2022,236939,Washington State University,380000,1,Pullman Campus,27539,0,0,9,On-campus arrests
2022,237011,Western Washington University,380200,1,Bellingham Campus,14747,0,0,0,On-campus arrests
2022,237057,Whitman College,380300,1,Whitman College,1493,0,0,0,On-campus arrests
2001,235316,Gonzaga University,377800,1,Main Campus,4874,0,0,0,On-campus housing arrests
2001,236595,Seattle University,379000,1,Main Campus,5981,0,0,0,On-campus housing arrests
2001,236948,University of Washington-Seattle Campus,379800,1,Main Campus,37412,0,24,30,On-campus housing arrests
2001,236939,Washington State University,380000,1,Pullman Campus,21073,0,32,23,On-campus housing arrests
2001,237011,Western Washington University,380200,1,Bellingham Campus,12409,0,17,95,On-campus housing arrests
2001,237057,Whitman College,380300,1,Whitman College,1439,0,0,0,On-campus housing arrests
2002,235316,Gonzaga University,377800,1,Main Campus,5254,0,1,0,On-campus housing arrests
2002,236595,Seattle University,379000,1,Main Campus,6270,0,0,0,On-campus housing arrests
2002,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39882,1,11,33,On-campus housing arrests
2002,236939,Washington State University,380000,1,Pullman Campus,21880,0,44,36,On-campus housing arrests
2002,237011,Western Washington University,380200,1,Bellingham Campus,13865,0,27,64,On-campus housing arrests
2002,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,On-campus housing arrests
2003,235316,Gonzaga University,377800,1,Main Campus,5494,0,0,1,On-campus housing arrests
2003,236595,Seattle University,379000,1,Main Campus,6659,0,0,0,On-campus housing arrests
2003,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39135,0,7,11,On-campus housing arrests
2003,236939,Washington State University,380000,1,Pullman Campus,22712,1,39,15,On-campus housing arrests
2003,237011,Western Washington University,380200,1,Bellingham Campus,13845,0,10,24,On-campus housing arrests
2003,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,On-campus housing arrests
2004,235316,Gonzaga University,377800,1,Main Campus,5858,0,0,2,On-campus housing arrests
2004,236595,Seattle University,379000,1,Main Campus,6810,0,0,0,On-campus housing arrests
2004,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39199,0,4,19,On-campus housing arrests
2004,236939,Washington State University,380000,1,Pullman Campus,23241,4,30,33,On-campus housing arrests
2004,237011,Western Washington University,380200,1,Bellingham Campus,14190,0,11,24,On-campus housing arrests
2004,237057,Whitman College,380300,1,Whitman College,1481,0,0,0,On-campus housing arrests
2005,235316,Gonzaga University,377800,1,Main Campus,6377,0,0,1,On-campus housing arrests
2005,236595,Seattle University,379000,1,Main Campus,7109,0,0,0,On-campus housing arrests
2005,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39251,0,2,10,On-campus housing arrests
2005,236939,Washington State University,380000,1,Pullman Campus,23544,1,31,33,On-campus housing arrests
2005,237011,Western Washington University,380200,1,Bellingham Campus,14247,0,8,46,On-campus housing arrests
2005,237057,Whitman College,380300,1,Whitman College,1512,0,0,0,On-campus housing arrests
2006,235316,Gonzaga University,377800,1,Main Campus,6607,0,1,0,On-campus housing arrests
2006,236595,Seattle University,379000,1,Main Campus,7226,0,0,0,On-campus housing arrests
